latitude,longitude,elevation_m,slope_degrees,terrain_type,zone_id,suitable_for_grazing
33.5,-5.040816,1776.2,15.8,hills,1,True
33.5,-5.036735,1793.2,7.7,hills,1,True
33.5,-5.032653,2093.6,15.7,hills,1,True
33.5,-5.028571,1519.0,9.2,hills,1,True
33.5,-5.02449,1604.9,16.6,hills,1,True
33.5,-5.020408,1778.2,5.5,hills,1,True
33.5,-5.016327,1598.3,18.8,hills,1,True
33.5,-5.012245,1734.8,18.2,hills,1,True
33.5,-5.008163,1583.4,8.2,hills,1,True
33.5,-5.004082,1662.6,19.6,hills,1,True
33.5,-5.0,1668.6,6.0,hills,1,True
33.502041,-5.2,1729.9,7.8,hills,1,True
33.502041,-5.195918,1571.0,12.8,hills,1,True
33.502041,-5.191837,1813.9,16.9,hills,1,True
33.502041,-5.187755,1994.0,15.8,hills,1,True
33.502041,-5.183673,1427.8,9.4,hills,1,True
33.502041,-5.179592,1607.1,9.9,hills,1,True
33.502041,-5.17551,1497.7,10.5,hills,1,True
33.502041,-5.171429,1531.4,14.8,hills,1,True
33.502041,-5.167347,1879.9,14.8,hills,1,True
33.502041,-5.163265,1688.7,16.2,hills,1,True
33.502041,-5.159184,1704.8,14.4,hills,1,True
33.502041,-5.155102,1544.4,16.0,hills,1,True
33.502041,-5.15102,1822.3,17.5,hills,1,True
33.502041,-5.146939,1711.9,14.1,hills,1,True
33.502041,-5.142857,1426.0,19.6,hills,1,True
33.502041,-5.138776,1653.2,10.8,hills,1,True
33.502041,-5.134694,1173.0,19.6,hills,1,True
33.502041,-5.130612,1436.2,13.0,hills,1,True
33.502041,-5.126531,1659.6,11.3,hills,1,True
33.502041,-5.122449,1780.6,5.7,hills,1,True
33.502041,-5.118367,1766.1,11.7,hills,1,True
33.502041,-5.114286,1519.8,9.2,hills,1,True
33.502041,-5.110204,1408.7,10.8,hills,1,True
33.502041,-5.106122,1893.9,13.5,hills,1,True
33.502041,-5.102041,1964.0,17.4,hills,1,True
33.502041,-5.097959,1673.1,14.9,hills,1,True
33.502041,-5.093878,1643.3,11.3,hills,1,True
33.502041,-5.089796,1946.9,10.5,hills,1,True
33.502041,-5.085714,1394.9,11.7,hills,1,True
33.502041,-5.081633,1904.8,13.6,hills,1,True
33.502041,-5.077551,1528.9,9.5,hills,1,True
33.502041,-5.073469,1561.8,14.5,hills,1,True
33.502041,-5.069388,1639.9,9.4,hills,1,True
33.502041,-5.065306,1748.3,16.1,hills,1,True
33.502041,-5.061224,1550.3,7.1,hills,1,True
33.502041,-5.057143,1734.7,16.0,hills,1,True
33.502041,-5.053061,1418.0,12.1,hills,1,True
33.502041,-5.04898,1763.6,5.7,hills,1,True
33.502041,-5.044898,1863.4,14.7,hills,1,True
33.502041,-5.040816,1435.7,14.9,hills,1,True
33.502041,-5.036735,1828.8,11.8,hills,1,True
33.502041,-5.032653,1607.4,6.4,hills,1,True
33.502041,-5.028571,1519.8,15.2,hills,1,True
33.502041,-5.02449,1990.5,12.7,hills,1,True
33.502041,-5.020408,1829.0,11.8,hills,1,True
33.502041,-5.016327,1580.5,14.4,hills,1,True
33.502041,-5.012245,1589.5,17.6,hills,1,True
33.502041,-5.008163,1898.1,13.8,hills,1,True
33.502041,-5.004082,1719.6,12.6,hills,1,True
33.502041,-5.0,1727.9,16.5,hills,1,True
33.504082,-5.2,1811.1,13.8,hills,1,True
33.504082,-5.195918,1491.6,10.9,hills,1,True
33.504082,-5.191837,1626.4,17.9,hills,1,True
33.504082,-5.187755,1369.5,12.4,hills,1,True
33.504082,-5.183673,1382.5,11.7,hills,1,True
33.504082,-5.179592,1734.3,8.2,hills,1,True
33.504082,-5.17551,1971.3,18.7,hills,1,True
33.504082,-5.171429,1649.9,10.0,hills,1,True
33.504082,-5.167347,1693.9,13.1,hills,1,True
33.504082,-5.163265,1811.7,11.8,hills,1,True
33.504082,-5.159184,2075.5,8.7,hills,1,True
33.504082,-5.155102,1570.3,13.2,hills,1,True
33.504082,-5.15102,1461.8,19.2,hills,1,True
33.504082,-5.146939,1905.0,19.8,hills,1,True
33.504082,-5.142857,1617.1,14.2,hills,1,True
33.504082,-5.138776,1846.4,15.1,hills,1,True
33.504082,-5.134694,1788.1,7.0,hills,1,True
33.504082,-5.130612,1747.3,11.7,hills,1,True
33.504082,-5.126531,1643.2,13.4,hills,1,True
33.504082,-5.122449,1850.8,18.8,hills,1,True
33.504082,-5.118367,1540.5,17.9,hills,1,True
33.504082,-5.114286,1707.0,19.7,hills,1,True
33.504082,-5.110204,1781.4,12.5,hills,1,True
33.504082,-5.106122,1539.0,10.8,hills,1,True
33.504082,-5.102041,1472.4,18.3,hills,1,True
33.504082,-5.097959,1698.7,14.2,hills,1,True
33.504082,-5.093878,1850.2,6.3,hills,1,True
33.504082,-5.089796,1683.1,7.6,hills,1,True
33.504082,-5.085714,1514.0,6.7,hills,1,True
33.504082,-5.081633,1086.4,16.2,hills,1,True
33.504082,-5.077551,1791.5,15.4,hills,1,True
33.504082,-5.073469,1815.3,11.8,hills,1,True
33.504082,-5.069388,1670.7,18.3,hills,1,True
33.504082,-5.065306,1510.6,11.2,hills,1,True
33.504082,-5.061224,1353.1,8.0,hills,1,True
33.504082,-5.057143,1839.9,17.9,hills,1,True
33.504082,-5.053061,1596.2,7.3,hills,1,True
33.504082,-5.04898,1665.3,6.9,hills,1,True
33.504082,-5.044898,1771.1,14.0,hills,1,True
33.504082,-5.040816,1425.3,7.7,hills,1,True
33.504082,-5.036735,1365.0,9.2,hills,1,True
33.504082,-5.032653,1430.5,17.5,hills,1,True
33.504082,-5.028571,1555.4,18.9,hills,1,True
33.504082,-5.02449,1680.1,15.7,hills,1,True
33.504082,-5.020408,1463.3,16.2,hills,1,True
33.504082,-5.016327,1662.4,16.8,hills,1,True
33.504082,-5.012245,1489.5,15.2,hills,1,True
33.504082,-5.008163,1615.2,15.5,hills,1,True
33.504082,-5.004082,1856.0,17.0,hills,1,True
33.504082,-5.0,1764.0,17.0,hills,1,True
33.506122,-5.2,1589.9,9.5,hills,1,True
33.506122,-5.195918,1852.8,15.9,hills,1,True
33.506122,-5.191837,1663.5,17.7,hills,1,True
33.506122,-5.187755,1640.4,12.7,hills,1,True
33.506122,-5.183673,1823.6,15.5,hills,1,True
33.506122,-5.179592,1730.0,18.3,hills,1,True
33.506122,-5.17551,1554.7,11.9,hills,1,True
33.506122,-5.171429,1783.9,7.1,hills,1,True
33.506122,-5.167347,1523.0,8.6,hills,1,True
33.506122,-5.163265,1725.2,5.4,hills,1,True
33.506122,-5.159184,1580.2,10.2,hills,1,True
33.506122,-5.155102,1412.0,9.3,hills,1,True
33.506122,-5.15102,1492.2,10.1,hills,1,True
33.506122,-5.146939,1914.1,12.0,hills,1,True
33.506122,-5.142857,1753.1,19.1,hills,1,True
33.506122,-5.138776,1774.5,10.2,hills,1,True
33.506122,-5.134694,1612.8,19.3,hills,1,True
33.506122,-5.130612,2045.4,11.2,hills,1,True
33.506122,-5.126531,1776.2,13.7,hills,1,True
33.506122,-5.122449,1460.8,9.5,hills,1,True
33.506122,-5.118367,1455.7,19.5,hills,1,True
33.506122,-5.114286,1742.6,7.0,hills,1,True
33.506122,-5.110204,1457.8,16.6,hills,1,True
33.506122,-5.106122,1301.1,10.2,hills,1,True
33.506122,-5.102041,1895.9,12.0,hills,1,True
33.506122,-5.097959,1843.2,8.5,hills,1,True
33.506122,-5.093878,1690.9,7.1,hills,1,True
33.506122,-5.089796,1691.1,13.9,hills,1,True
33.506122,-5.085714,1613.4,9.4,hills,1,True
33.506122,-5.081633,1167.8,15.5,hills,1,True
33.506122,-5.077551,1688.0,7.0,hills,1,True
33.506122,-5.073469,1549.5,6.8,hills,1,True
33.506122,-5.069388,1937.9,11.2,hills,1,True
33.506122,-5.065306,1702.7,5.2,hills,1,True
33.506122,-5.061224,1799.4,13.2,hills,1,True
33.506122,-5.057143,1949.3,17.8,hills,1,True
33.506122,-5.053061,1443.0,9.4,hills,1,True
33.506122,-5.04898,1721.0,12.4,hills,1,True
33.506122,-5.044898,1485.2,9.2,hills,1,True
33.506122,-5.040816,1620.3,7.5,hills,1,True
33.506122,-5.036735,1640.5,15.0,hills,1,True
33.506122,-5.032653,1603.5,13.7,hills,1,True
33.506122,-5.028571,1512.6,11.1,hills,1,True
33.506122,-5.02449,1653.0,18.9,hills,1,True
33.506122,-5.020408,1587.3,13.5,hills,1,True
33.506122,-5.016327,1401.3,5.0,hills,1,True
33.506122,-5.012245,1619.0,12.3,hills,1,True
33.506122,-5.008163,1710.8,6.0,hills,1,True
33.506122,-5.004082,1898.2,15.0,hills,1,True
33.506122,-5.0,1452.4,10.3,hills,1,True
33.508163,-5.2,1324.2,14.6,hills,1,True
33.508163,-5.195918,1467.0,6.4,hills,1,True
33.508163,-5.191837,1989.4,16.0,hills,1,True
33.508163,-5.187755,2052.4,15.1,hills,1,True
33.508163,-5.183673,1516.0,14.6,hills,1,True
33.508163,-5.179592,1761.5,15.7,hills,1,True
33.508163,-5.17551,1497.6,18.1,hills,1,True
33.508163,-5.171429,1597.3,5.2,hills,1,True
33.508163,-5.167347,1561.8,17.6,hills,1,True
33.508163,-5.163265,1907.3,12.3,hills,1,True
33.508163,-5.159184,1487.5,14.1,hills,1,True
33.508163,-5.155102,1897.0,7.2,hills,1,True
33.508163,-5.15102,1928.5,20.0,hills,1,True
33.508163,-5.146939,1414.5,15.0,hills,1,True
33.508163,-5.142857,1354.9,8.4,hills,1,True
33.508163,-5.138776,1817.6,9.7,hills,1,True
33.508163,-5.134694,1758.5,17.4,hills,1,True
33.508163,-5.130612,1655.5,14.8,hills,1,True
33.508163,-5.126531,1849.8,17.6,hills,1,True
33.508163,-5.122449,1538.6,15.3,hills,1,True
33.508163,-5.118367,1730.3,10.6,hills,1,True
33.508163,-5.114286,1785.0,12.4,hills,1,True
33.508163,-5.110204,1810.7,9.5,hills,1,True
33.508163,-5.106122,1525.2,14.1,hills,1,True
33.508163,-5.102041,1607.9,7.4,hills,1,True
33.508163,-5.097959,1912.3,9.7,hills,1,True
33.508163,-5.093878,1987.9,14.7,hills,1,True
33.508163,-5.089796,1609.5,8.1,hills,1,True
33.508163,-5.085714,1674.3,13.9,hills,1,True
33.508163,-5.081633,1864.9,20.0,hills,1,True
33.508163,-5.077551,2052.7,16.8,hills,1,True
33.508163,-5.073469,2029.8,19.9,hills,1,True
33.508163,-5.069388,1360.9,14.0,hills,1,True
33.508163,-5.065306,1838.8,6.6,hills,1,True
33.508163,-5.061224,1741.4,9.8,hills,1,True
33.508163,-5.057143,1729.1,16.5,hills,1,True
33.508163,-5.053061,1739.6,5.8,hills,1,True
33.508163,-5.04898,1676.7,15.9,hills,1,True
33.508163,-5.044898,1772.0,12.5,hills,1,True
33.508163,-5.040816,1952.9,19.7,hills,1,True
33.508163,-5.036735,1717.1,5.4,hills,1,True
33.508163,-5.032653,1642.4,7.5,hills,1,True
33.508163,-5.028571,1812.8,15.6,hills,1,True
33.508163,-5.02449,1535.1,5.4,hills,1,True
33.508163,-5.020408,1753.8,6.8,hills,1,True
33.508163,-5.016327,1388.8,6.0,hills,1,True
33.508163,-5.012245,1809.3,14.8,hills,1,True
33.508163,-5.008163,1333.7,16.7,hills,1,True
33.508163,-5.004082,1567.0,8.1,hills,1,True
33.508163,-5.0,1945.6,13.7,hills,1,True
33.510204,-5.2,1607.2,8.2,hills,2,True
33.510204,-5.195918,1723.5,11.2,hills,2,True
33.510204,-5.191837,1467.1,12.4,hills,2,True
33.510204,-5.187755,1548.5,19.8,hills,2,True
33.510204,-5.183673,1643.4,14.1,hills,2,True
33.510204,-5.179592,1407.9,19.0,hills,2,True
33.510204,-5.17551,1739.3,11.6,hills,2,True
33.510204,-5.171429,1941.8,5.2,hills,2,True
33.510204,-5.167347,1374.1,8.8,hills,2,True
33.510204,-5.163265,1485.7,5.1,hills,2,True
33.510204,-5.159184,1542.0,6.2,hills,2,True
33.510204,-5.155102,1679.5,7.0,hills,2,True
33.510204,-5.15102,1968.1,18.0,hills,2,True
33.510204,-5.146939,1860.8,9.4,hills,2,True
33.510204,-5.142857,1651.1,15.0,hills,2,True
33.510204,-5.138776,1802.9,18.2,hills,2,True
33.510204,-5.134694,1677.4,17.5,hills,2,True
33.510204,-5.130612,1745.1,14.9,hills,2,True
33.510204,-5.126531,1726.7,12.7,hills,2,True
33.510204,-5.122449,1665.1,13.9,hills,2,True
33.510204,-5.118367,1575.5,9.6,hills,2,True
33.510204,-5.114286,1859.3,14.1,hills,2,True
33.510204,-5.110204,1504.6,9.2,hills,2,True
33.510204,-5.106122,1546.9,16.6,hills,2,True
33.510204,-5.102041,1232.1,11.5,hills,2,True
33.510204,-5.097959,1643.1,17.7,hills,2,True
33.510204,-5.093878,1614.8,14.2,hills,2,True
33.510204,-5.089796,1925.9,15.8,hills,2,True
33.510204,-5.085714,1651.5,17.6,hills,2,True
33.510204,-5.081633,1883.5,10.2,hills,2,True
33.510204,-5.077551,1439.2,10.3,hills,2,True
33.510204,-5.073469,1936.8,6.3,hills,2,True
33.510204,-5.069388,1988.9,8.5,hills,2,True
33.510204,-5.065306,1804.1,18.0,hills,2,True
33.510204,-5.061224,1660.3,13.5,hills,2,True
33.510204,-5.057143,1791.1,14.4,hills,2,True
33.510204,-5.053061,1476.6,6.1,hills,2,True
33.510204,-5.04898,1928.6,17.1,hills,2,True
33.510204,-5.044898,1854.0,10.9,hills,2,True
33.510204,-5.040816,1705.4,15.2,hills,2,True
33.510204,-5.036735,1735.4,8.5,hills,2,True
33.510204,-5.032653,1462.7,12.5,hills,2,True
33.510204,-5.028571,1908.9,11.8,hills,2,True
33.510204,-5.02449,1701.4,11.5,hills,2,True
33.510204,-5.020408,1835.7,17.6,hills,2,True
33.510204,-5.016327,1840.6,7.2,hills,2,True
33.510204,-5.012245,1578.7,11.4,hills,2,True
33.510204,-5.008163,1882.9,16.1,hills,2,True
33.510204,-5.004082,1351.7,14.6,hills,2,True
33.510204,-5.0,1913.6,19.5,hills,2,True
33.512245,-5.2,1529.0,17.0,hills,2,True
33.512245,-5.195918,1644.9,9.6,hills,2,True
33.512245,-5.191837,1470.2,19.8,hills,2,True
33.512245,-5.187755,1246.3,14.6,hills,2,True
33.512245,-5.183673,1519.4,6.8,hills,2,True
33.512245,-5.179592,1576.8,8.1,hills,2,True
33.512245,-5.17551,1442.7,5.8,hills,2,True
33.512245,-5.171429,1410.5,11.4,hills,2,True
33.512245,-5.167347,1558.8,18.2,hills,2,True
33.512245,-5.163265,1405.4,12.6,hills,2,True
33.512245,-5.159184,1594.9,14.8,hills,2,True
33.512245,-5.155102,1591.6,14.3,hills,2,True
33.512245,-5.15102,1680.8,18.5,hills,2,True
33.512245,-5.146939,1896.9,7.8,hills,2,True
33.512245,-5.142857,1476.2,5.2,hills,2,True
33.512245,-5.138776,1684.3,14.0,hills,2,True
33.512245,-5.134694,2024.6,12.3,hills,2,True
33.512245,-5.130612,1564.6,13.6,hills,2,True
33.512245,-5.126531,1613.1,11.8,hills,2,True
33.512245,-5.122449,1832.4,5.4,hills,2,True
33.512245,-5.118367,1260.9,16.1,hills,2,True
33.512245,-5.114286,1988.8,19.4,hills,2,True
33.512245,-5.110204,1926.0,7.0,hills,2,True
33.512245,-5.106122,1340.5,9.5,hills,2,True
33.512245,-5.102041,1933.4,12.6,hills,2,True
33.512245,-5.097959,1951.9,14.1,hills,2,True
33.512245,-5.093878,1392.9,16.5,hills,2,True
33.512245,-5.089796,1684.6,18.1,hills,2,True
33.512245,-5.085714,1787.9,6.7,hills,2,True
33.512245,-5.081633,1505.9,18.1,hills,2,True
33.512245,-5.077551,1506.3,16.8,hills,2,True
33.512245,-5.073469,1376.8,14.4,hills,2,True
33.512245,-5.069388,1389.0,13.0,hills,2,True
33.512245,-5.065306,1739.9,18.2,hills,2,True
33.512245,-5.061224,1678.8,17.8,hills,2,True
33.512245,-5.057143,1769.5,14.9,hills,2,True
33.512245,-5.053061,1526.7,15.4,hills,2,True
33.512245,-5.04898,1735.7,18.9,hills,2,True
33.512245,-5.044898,1479.2,8.1,hills,2,True
33.512245,-5.040816,1556.8,16.1,hills,2,True
33.512245,-5.036735,1745.1,18.1,hills,2,True
33.512245,-5.032653,1439.0,15.6,hills,2,True
33.512245,-5.028571,1648.3,15.6,hills,2,True
33.512245,-5.02449,2037.6,16.4,hills,2,True
33.512245,-5.020408,1597.7,17.6,hills,2,True
33.512245,-5.016327,1606.6,15.2,hills,2,True
33.512245,-5.012245,1570.0,17.7,hills,2,True
33.512245,-5.008163,1633.8,9.3,hills,2,True
33.512245,-5.004082,1595.3,7.7,hills,2,True
33.512245,-5.0,1850.2,10.0,hills,2,True
33.514286,-5.2,1908.4,13.2,hills,2,True
33.514286,-5.195918,1603.5,17.0,hills,2,True
33.514286,-5.191837,1484.0,19.0,hills,2,True
33.514286,-5.187755,1918.3,13.0,hills,2,True
33.514286,-5.183673,1387.9,19.9,hills,2,True
33.514286,-5.179592,1814.1,19.0,hills,2,True
33.514286,-5.17551,1158.9,17.8,hills,2,True
33.514286,-5.171429,1542.9,18.5,hills,2,True
33.514286,-5.167347,1507.5,17.0,hills,2,True
33.514286,-5.163265,1746.2,13.8,hills,2,True
33.514286,-5.159184,1526.5,15.5,hills,2,True
33.514286,-5.155102,1408.8,8.3,hills,2,True
33.514286,-5.15102,2156.0,15.0,hills,2,True
33.514286,-5.146939,1423.7,9.0,hills,2,True
33.514286,-5.142857,1527.5,8.5,hills,2,True
33.514286,-5.138776,1811.8,19.5,hills,2,True
33.514286,-5.134694,1835.8,11.5,hills,2,True
33.514286,-5.130612,1707.9,17.1,hills,2,True
33.514286,-5.126531,1590.2,7.0,hills,2,True
33.514286,-5.122449,1766.1,8.7,hills,2,True
33.514286,-5.118367,1704.6,16.1,hills,2,True
33.514286,-5.114286,1666.2,8.2,hills,2,True
33.514286,-5.110204,1271.5,17.9,hills,2,True
33.514286,-5.106122,1945.9,16.0,hills,2,True
33.514286,-5.102041,1747.5,18.5,hills,2,True
33.514286,-5.097959,1576.9,6.8,hills,2,True
33.514286,-5.093878,2203.4,14.9,hills,2,True
33.514286,-5.089796,1671.5,18.1,hills,2,True
33.514286,-5.085714,1567.4,11.4,hills,2,True
33.514286,-5.081633,1633.3,6.7,hills,2,True
33.514286,-5.077551,2172.4,11.9,hills,2,True
33.514286,-5.073469,1525.1,9.7,hills,2,True
33.514286,-5.069388,1476.3,6.6,hills,2,True
33.514286,-5.065306,1869.9,5.2,hills,2,True
33.514286,-5.061224,1414.9,11.6,hills,2,True
33.514286,-5.057143,1510.0,17.3,hills,2,True
33.514286,-5.053061,1285.9,6.0,hills,2,True
33.514286,-5.04898,1728.3,13.9,hills,2,True
33.514286,-5.044898,1723.3,10.0,hills,2,True
33.514286,-5.040816,1974.2,19.4,hills,2,True
33.514286,-5.036735,1230.4,8.8,hills,2,True
33.514286,-5.032653,1495.0,17.6,hills,2,True
33.514286,-5.028571,1995.2,9.6,hills,2,True
33.514286,-5.02449,1557.6,11.1,hills,2,True
33.514286,-5.020408,1701.5,18.1,hills,2,True
33.514286,-5.016327,1515.8,7.0,hills,2,True
33.514286,-5.012245,1567.4,15.3,hills,2,True
33.514286,-5.008163,2005.6,7.5,hills,2,True
33.514286,-5.004082,1853.9,7.3,hills,2,True
33.514286,-5.0,1796.6,11.6,hills,2,True
33.516327,-5.2,1795.2,17.6,hills,2,True
33.516327,-5.195918,1421.1,13.9,hills,2,True
33.516327,-5.191837,1460.9,17.2,hills,2,True
33.516327,-5.187755,1366.4,19.9,hills,2,True
33.516327,-5.183673,1637.6,18.2,hills,2,True
33.516327,-5.179592,1614.9,18.4,hills,2,True
33.516327,-5.17551,1379.7,18.0,hills,2,True
33.516327,-5.171429,1414.3,12.9,hills,2,True
33.516327,-5.167347,1849.7,8.9,hills,2,True
33.516327,-5.163265,1668.1,5.2,hills,2,True
33.516327,-5.159184,1839.7,17.4,hills,2,True
33.516327,-5.155102,1896.7,9.1,hills,2,True
33.516327,-5.15102,1591.8,14.4,hills,2,True
33.516327,-5.146939,1795.7,14.6,hills,2,True
33.516327,-5.142857,1823.6,11.4,hills,2,True
33.516327,-5.138776,1604.5,15.6,hills,2,True
33.516327,-5.134694,1527.4,18.5,hills,2,True
33.516327,-5.130612,1319.2,15.2,hills,2,True
33.516327,-5.126531,1741.9,14.0,hills,2,True
33.516327,-5.122449,1798.2,7.8,hills,2,True
33.516327,-5.118367,1464.2,5.2,hills,2,True
33.516327,-5.114286,2050.6,6.7,hills,2,True
33.516327,-5.110204,1662.6,17.2,hills,2,True
33.516327,-5.106122,1604.4,17.7,hills,2,True
33.516327,-5.102041,1817.6,5.9,hills,2,True
33.516327,-5.097959,1797.7,6.0,hills,2,True
33.516327,-5.093878,1588.5,6.9,hills,2,True
33.516327,-5.089796,1861.0,19.1,hills,2,True
33.516327,-5.085714,1821.2,5.6,hills,2,True
33.516327,-5.081633,1745.8,13.7,hills,2,True
33.516327,-5.077551,1353.8,8.0,hills,2,True
33.516327,-5.073469,1553.8,17.2,hills,2,True
33.516327,-5.069388,1757.9,18.2,hills,2,True
33.516327,-5.065306,1485.2,15.5,hills,2,True
33.516327,-5.061224,1758.4,11.8,hills,2,True
33.516327,-5.057143,1799.2,12.7,hills,2,True
33.516327,-5.053061,1408.0,16.6,hills,2,True
33.516327,-5.04898,1786.5,19.9,hills,2,True
33.516327,-5.044898,1842.5,17.3,hills,2,True
33.516327,-5.040816,1789.9,15.5,hills,2,True
33.516327,-5.036735,2126.3,11.8,hills,2,True
33.516327,-5.032653,1471.5,11.7,hills,2,True
33.516327,-5.028571,1370.9,8.2,hills,2,True
33.516327,-5.02449,1709.5,17.3,hills,2,True
33.516327,-5.020408,1612.1,8.9,hills,2,True
33.516327,-5.016327,1554.3,6.4,hills,2,True
33.516327,-5.012245,1409.1,11.9,hills,2,True
33.516327,-5.008163,1558.7,13.9,hills,2,True
33.516327,-5.004082,1758.5,11.7,hills,2,True
33.516327,-5.0,1551.1,8.9,hills,2,True
33.518367,-5.2,1223.9,6.1,hills,2,True
33.518367,-5.195918,1881.5,13.2,hills,2,True
33.518367,-5.191837,1827.5,13.0,hills,2,True
33.518367,-5.187755,1527.7,9.3,hills,2,True
33.518367,-5.183673,1676.1,13.9,hills,2,True
33.518367,-5.179592,1772.5,17.2,hills,2,True
33.518367,-5.17551,1803.4,13.5,hills,2,True
33.518367,-5.171429,1700.6,13.3,hills,2,True
33.518367,-5.167347,1489.5,14.3,hills,2,True
33.518367,-5.163265,1927.0,16.4,hills,2,True
33.518367,-5.159184,1674.4,16.8,hills,2,True
33.518367,-5.155102,1738.9,10.2,hills,2,True
33.518367,-5.15102,1528.6,14.3,hills,2,True
33.518367,-5.146939,1303.1,10.3,hills,2,True
33.518367,-5.142857,1739.1,9.5,hills,2,True
33.518367,-5.138776,1723.6,6.7,hills,2,True
33.518367,-5.134694,1426.7,10.6,hills,2,True
33.518367,-5.130612,1860.1,17.4,hills,2,True
33.518367,-5.126531,2060.0,9.5,hills,2,True
33.518367,-5.122449,1719.5,9.1,hills,2,True
33.518367,-5.118367,1877.1,8.3,hills,2,True
33.518367,-5.114286,1692.7,10.2,hills,2,True
33.518367,-5.110204,1916.3,15.4,hills,2,True
33.518367,-5.106122,1610.5,18.8,hills,2,True
33.518367,-5.102041,1813.1,7.1,hills,2,True
33.518367,-5.097959,1587.2,7.1,hills,2,True
33.518367,-5.093878,2064.2,12.5,hills,2,True
33.518367,-5.089796,1825.4,17.1,hills,2,True
33.518367,-5.085714,1845.4,11.5,hills,2,True
33.518367,-5.081633,1530.2,7.8,hills,2,True
33.518367,-5.077551,1732.0,13.4,hills,2,True
33.518367,-5.073469,1488.4,17.0,hills,2,True
33.518367,-5.069388,1978.7,16.6,hills,2,True
33.518367,-5.065306,2025.0,13.0,hills,2,True
33.518367,-5.061224,1630.7,11.4,hills,2,True
33.518367,-5.057143,1574.4,14.9,hills,2,True
33.518367,-5.053061,1626.3,10.6,hills,2,True
33.518367,-5.04898,1482.1,13.2,hills,2,True
33.518367,-5.044898,1695.2,14.1,hills,2,True
33.518367,-5.040816,1883.7,5.5,hills,2,True
33.518367,-5.036735,1645.8,6.8,hills,2,True
33.518367,-5.032653,1572.0,5.4,hills,2,True
33.518367,-5.028571,1816.3,13.5,hills,2,True
33.518367,-5.02449,1628.1,9.6,hills,2,True
33.518367,-5.020408,1725.0,8.9,hills,2,True
33.518367,-5.016327,1614.1,7.9,hills,2,True
33.518367,-5.012245,1667.8,5.1,hills,2,True
33.518367,-5.008163,1363.3,17.6,hills,2,True
33.518367,-5.004082,1704.9,8.8,hills,2,True
33.518367,-5.0,1697.0,5.0,hills,2,True
33.520408,-5.2,1654.6,9.7,hills,3,True
33.520408,-5.195918,1696.7,12.0,hills,3,True
33.520408,-5.191837,1633.7,14.5,hills,3,True
33.520408,-5.187755,1572.9,7.9,hills,3,True
33.520408,-5.183673,1487.6,14.2,hills,3,True
33.520408,-5.179592,1355.2,8.6,hills,3,True
33.520408,-5.17551,1726.7,12.5,hills,3,True
33.520408,-5.171429,1923.3,12.1,hills,3,True
33.520408,-5.167347,1399.3,14.0,hills,3,True
33.520408,-5.163265,1617.8,11.2,hills,3,True
33.520408,-5.159184,1602.3,19.6,hills,3,True
33.520408,-5.155102,1650.5,10.0,hills,3,True
33.520408,-5.15102,1358.9,16.7,hills,3,True
33.520408,-5.146939,1546.1,11.2,hills,3,True
33.520408,-5.142857,1620.7,19.6,hills,3,True
33.520408,-5.138776,1675.5,7.1,hills,3,True
33.520408,-5.134694,1099.0,12.9,hills,3,True
33.520408,-5.130612,1758.2,13.8,hills,3,True
