date,temperature,humidity,rainfall,description
2024-06-03,25.5,40.9,0.0,measured_data
2024-06-04,23.2,64.9,0.0,measured_data
2024-06-05,31.0,54.4,0.0,measured_data
2024-06-06,25.3,54.4,0.0,measured_data
2024-06-07,22.7,43.8,0.0,measured_data
2024-06-08,21.9,66.9,0.0,measured_data
2024-06-09,26.4,75.3,0.0,measured_data
2024-06-10,22.4,43.5,0.0,measured_data
2024-06-11,26.7,48.9,0.0,measured_data
2024-06-12,23.6,60.2,0.0,measured_data
2024-06-13,30.3,43.2,4.4,measured_data
2024-06-14,22.9,54.5,0.0,measured_data
2024-06-15,26.4,30.7,1.0,measured_data
2024-06-16,26.3,36.9,0.0,measured_data
2024-06-17,20.3,66.6,0.0,measured_data
2024-06-18,23.0,48.2,0.0,measured_data
2024-06-19,20.2,55.0,0.0,measured_data
2024-06-20,23.3,63.2,0.0,measured_data
2024-06-21,26.2,70.3,0.0,measured_data
2024-06-22,27.5,58.4,0.0,measured_data
2024-06-23,23.6,40.9,0.0,measured_data
2024-06-24,28.4,57.0,0.0,measured_data
2024-06-25,24.3,44.0,0.0,measured_data
2024-06-26,24.0,42.8,0.0,measured_data
2024-06-27,25.6,63.9,17.6,measured_data
2024-06-28,21.1,62.2,0.0,measured_data
2024-06-29,26.3,39.8,0.0,measured_data
2024-06-30,25.7,62.7,0.0,measured_data
2024-07-01,30.1,42.1,0.0,measured_data
2024-07-02,28.1,46.7,0.9,measured_data
2024-07-03,29.5,59.0,0.0,measured_data
2024-07-04,27.7,30.6,0.0,measured_data
2024-07-05,21.6,59.9,0.0,measured_data
2024-07-06,25.8,44.9,0.0,measured_data
2024-07-07,26.9,65.4,0.0,measured_data
2024-07-08,24.1,70.6,4.4,measured_data
2024-07-09,20.3,65.6,0.0,measured_data
2024-07-10,20.6,50.5,0.0,measured_data
2024-07-11,22.3,80.6,0.0,measured_data
2024-07-12,18.5,54.0,0.0,measured_data
2024-07-13,22.1,43.6,10.0,measured_data
2024-07-14,24.3,59.2,0.0,measured_data
2024-07-15,21.7,48.8,0.0,measured_data
2024-07-16,29.9,44.8,0.0,measured_data
2024-07-17,25.5,57.5,4.9,measured_data
2024-07-18,22.9,64.2,0.0,measured_data
2024-07-19,26.0,44.6,0.0,measured_data
2024-07-20,24.6,47.1,0.0,measured_data
2024-07-21,26.5,55.0,0.0,measured_data
2024-07-22,24.5,46.7,0.0,measured_data
2024-07-23,23.7,38.4,0.0,measured_data
2024-07-24,21.6,59.9,0.0,measured_data
2024-07-25,27.5,53.3,0.0,measured_data
2024-07-26,20.3,62.1,0.0,measured_data
2024-07-27,23.5,73.5,0.0,measured_data
2024-07-28,19.3,64.9,0.0,measured_data
2024-07-29,28.6,47.6,3.9,measured_data
2024-07-30,17.7,57.1,0.0,measured_data
2024-07-31,20.0,74.3,0.0,measured_data
2024-08-01,28.6,46.4,0.3,measured_data
2024-08-02,24.5,73.4,0.0,measured_data
2024-08-03,23.5,42.1,0.0,measured_data
2024-08-04,21.2,67.4,0.0,measured_data
2024-08-05,27.9,57.4,0.1,measured_data
2024-08-06,20.7,53.8,0.0,measured_data
2024-08-07,26.9,59.9,0.0,measured_data
2024-08-08,19.8,59.1,0.0,measured_data
2024-08-09,22.8,48.6,0.0,measured_data
2024-08-10,22.9,63.7,0.0,measured_data
2024-08-11,23.7,52.3,0.0,measured_data
2024-08-12,23.1,47.7,0.0,measured_data
2024-08-13,21.6,61.1,6.6,measured_data
2024-08-14,24.7,53.9,0.0,measured_data
2024-08-15,26.4,46.4,0.0,measured_data
2024-08-16,20.3,49.0,0.0,measured_data
2024-08-17,17.1,39.4,0.0,measured_data
2024-08-18,16.4,47.3,0.0,measured_data
2024-08-19,14.6,48.2,0.0,measured_data
2024-08-20,15.9,59.6,0.0,measured_data
2024-08-21,18.9,60.5,0.0,measured_data
2024-08-22,21.8,68.2,0.0,measured_data
2024-08-23,27.1,46.6,0.0,measured_data
2024-08-24,22.9,67.2,0.2,measured_data
2024-08-25,16.7,48.0,0.0,measured_data
2024-08-26,25.0,43.7,0.0,measured_data
2024-08-27,14.5,49.6,0.0,measured_data
2024-08-28,23.2,52.3,0.0,measured_data
2024-08-29,17.7,52.2,0.0,measured_data
2024-08-30,17.1,60.3,0.0,measured_data
2024-08-31,17.5,46.5,0.0,measured_data
2024-09-01,14.7,64.4,0.0,measured_data
2024-09-02,16.1,61.4,0.0,measured_data
2024-09-03,19.9,38.4,0.0,measured_data
2024-09-04,13.0,65.4,0.0,measured_data
2024-09-05,20.9,69.0,1.8,measured_data
2024-09-06,22.7,51.8,10.1,measured_data
2024-09-07,15.1,45.7,0.0,measured_data
2024-09-08,15.9,66.4,0.0,measured_data
2024-09-09,17.6,60.6,0.0,measured_data
2024-09-10,14.5,54.0,0.0,measured_data
2024-09-11,17.5,50.8,0.0,measured_data
2024-09-12,18.5,57.8,0.0,measured_data
2024-09-13,14.2,53.8,0.0,measured_data
2024-09-14,11.9,62.6,0.0,measured_data
2024-09-15,12.0,64.6,0.0,measured_data
2024-09-16,11.3,57.7,0.0,measured_data
2024-09-17,15.3,53.6,0.0,measured_data
2024-09-18,15.8,69.9,0.0,measured_data
2024-09-19,16.2,57.0,0.0,measured_data
2024-09-20,19.6,54.8,0.0,measured_data
2024-09-21,14.0,79.2,4.7,measured_data
2024-09-22,12.1,60.2,4.2,measured_data
2024-09-23,11.4,66.8,0.0,measured_data
2024-09-24,8.3,67.0,0.0,measured_data
2024-09-25,19.9,64.8,9.8,measured_data
2024-09-26,12.7,68.0,0.0,measured_data
2024-09-27,13.8,51.2,0.0,measured_data
2024-09-28,10.5,58.3,0.0,measured_data
2024-09-29,17.8,63.5,0.0,measured_data
2024-09-30,12.5,74.3,2.4,measured_data
2024-10-01,16.1,63.2,0.0,measured_data
2024-10-02,10.9,71.7,0.0,measured_data
2024-10-03,12.7,61.8,0.0,measured_data
2024-10-04,9.6,52.7,1.7,measured_data
2024-10-05,10.4,57.9,0.4,measured_data
2024-10-06,12.6,73.1,0.0,measured_data
2024-10-07,15.9,50.2,0.0,measured_data
2024-10-08,8.9,60.9,3.0,measured_data
2024-10-09,12.8,68.7,0.0,measured_data
2024-10-10,13.4,73.9,0.0,measured_data
2024-10-11,10.6,65.3,0.1,measured_data
2024-10-12,11.3,82.0,0.0,measured_data
2024-10-13,13.7,40.3,0.0,measured_data
2024-10-14,16.8,51.8,0.0,measured_data
2024-10-15,5.0,77.2,0.0,measured_data
2024-10-16,9.3,62.1,0.0,measured_data
2024-10-17,11.7,48.9,0.0,measured_data
2024-10-18,9.8,78.9,0.0,measured_data
2024-10-19,11.9,52.9,0.0,measured_data
2024-10-20,15.0,56.1,0.0,measured_data
2024-10-21,9.9,52.8,0.0,measured_data
2024-10-22,8.8,73.2,0.0,measured_data
2024-10-23,9.8,48.1,0.0,measured_data
2024-10-24,10.9,48.0,0.0,measured_data
2024-10-25,10.5,70.4,0.0,measured_data
2024-10-26,6.5,61.4,0.0,measured_data
2024-10-27,12.3,70.7,0.0,measured_data
2024-10-28,10.4,58.4,0.0,measured_data
2024-10-29,11.5,49.4,0.0,measured_data
2024-10-30,8.8,62.3,0.0,measured_data
2024-10-31,5.1,67.3,0.0,measured_data
2024-11-01,11.9,53.4,0.0,measured_data
2024-11-02,8.7,42.0,1.4,measured_data
2024-11-03,5.7,41.6,0.0,measured_data
2024-11-04,10.3,59.6,0.0,measured_data
2024-11-05,1.5,53.6,0.0,measured_data
2024-11-06,7.0,67.3,0.8,measured_data
2024-11-07,9.4,59.6,12.1,measured_data
2024-11-08,3.7,62.2,0.0,measured_data
2024-11-09,5.8,65.7,0.0,measured_data
2024-11-10,4.6,62.3,0.0,measured_data
2024-11-11,10.1,55.6,0.0,measured_data
2024-11-12,9.5,75.2,0.0,measured_data
2024-11-13,9.4,64.6,0.0,measured_data
2024-11-14,5.1,90.0,0.0,measured_data
2024-11-15,5.8,58.1,0.0,measured_data
2024-11-16,4.2,66.5,0.0,measured_data
2024-11-17,9.9,50.4,14.1,measured_data
2024-11-18,3.6,65.0,0.0,measured_data
2024-11-19,7.9,52.9,24.7,measured_data
2024-11-20,7.0,47.0,0.0,measured_data
2024-11-21,8.1,70.1,0.0,measured_data
2024-11-22,6.0,61.2,0.7,measured_data
2024-11-23,2.5,71.4,0.0,measured_data
2024-11-24,9.5,58.1,0.0,measured_data
2024-11-25,-0.6,83.6,16.0,measured_data
2024-11-26,10.2,62.3,0.0,measured_data
2024-11-27,6.0,59.6,0.0,measured_data
2024-11-28,5.3,76.8,0.0,measured_data
2024-11-29,5.5,66.2,0.0,measured_data
2024-11-30,6.1,71.8,0.0,measured_data
2024-12-01,0.9,71.4,0.0,measured_data
2024-12-02,3.7,51.1,0.0,measured_data
2024-12-03,1.8,54.5,0.0,measured_data
2024-12-04,4.8,71.2,0.0,measured_data
2024-12-05,0.0,69.3,0.0,measured_data
2024-12-06,10.1,59.7,13.8,measured_data
2024-12-07,2.3,60.2,0.0,measured_data
2024-12-08,1.7,69.5,0.0,measured_data
2024-12-09,6.1,57.1,0.0,measured_data
2024-12-10,1.5,61.1,0.0,measured_data
2024-12-11,9.2,62.6,1.2,measured_data
2024-12-12,4.7,75.3,0.0,measured_data
2024-12-13,6.6,66.6,44.4,measured_data
2024-12-14,5.7,49.8,0.0,measured_data
2024-12-15,-0.2,61.8,23.1,measured_data
2024-12-16,8.2,60.8,0.0,measured_data
2024-12-17,12.4,65.3,0.0,measured_data
2024-12-18,6.0,77.8,0.0,measured_data
2024-12-19,5.7,75.2,8.9,measured_data
2024-12-20,6.9,61.8,0.0,measured_data
2024-12-21,6.3,77.9,0.0,measured_data
2024-12-22,9.8,52.4,0.0,measured_data
2024-12-23,1.2,70.7,0.0,measured_data
2024-12-24,5.8,57.5,0.0,measured_data
2024-12-25,4.5,68.9,0.0,measured_data
2024-12-26,10.1,51.8,0.0,measured_data
2024-12-27,0.5,60.0,0.0,measured_data
2024-12-28,0.7,71.4,0.5,measured_data
2024-12-29,11.0,58.2,0.0,measured_data
2024-12-30,6.0,71.0,4.4,measured_data
2024-12-31,7.9,63.7,11.6,measured_data
